,順位,アウェイ,年度,節数
0,1,長崎,2017,第1
1,2,名古屋,2017,第1
2,3,山形,2017,第1
3,3,熊本,2017,第1
4,3,大分,2017,第1
5,6,千葉,2017,第1
6,6,横浜FC,2017,第1
7,6,湘南,2017,第1
8,6,徳島,2017,第1
9,6,愛媛,2017,第1
10,11,岐阜,2017,第1
11,11,山口,2017,第1
12,13,京都,2017,第1
13,13,讃岐,2017,第1
14,13,福岡,2017,第1
15,16,水戸,2017,第1
16,16,東京Ｖ,2017,第1
17,16,町田,2017,第1
18,16,松本,2017,第1
19,16,金沢,2017,第1
20,21,岡山,2017,第1
21,22,群馬,2017,第1
22,1,湘南,2017,第2
23,2,長崎,2017,第2
24,3,名古屋,2017,第2
25,4,山形,2017,第2
26,4,熊本,2017,第2
27,6,千葉,2017,第2
28,6,横浜FC,2017,第2
29,8,愛媛,2017,第2
30,9,水戸,2017,第2
31,10,福岡,2017,第2
32,11,京都,2017,第2
33,11,大分,2017,第2
34,13,東京Ｖ,2017,第2
35,13,徳島,2017,第2
36,15,岐阜,2017,第2
37,16,山口,2017,第2
38,16,讃岐,2017,第2
39,18,町田,2017,第2
40,19,松本,2017,第2
41,20,岡山,2017,第2
42,21,金沢,2017,第2
43,22,群馬,2017,第2
44,1,千葉,2017,第3
45,1,湘南,2017,第3
46,3,横浜FC,2017,第3
47,4,東京Ｖ,2017,第3
48,5,徳島,2017,第3
49,5,大分,2017,第3
50,7,福岡,2017,第3
51,8,山形,2017,第3
52,8,熊本,2017,第3
53,10,愛媛,2017,第3
54,11,長崎,2017,第3
55,12,名古屋,2017,第3
56,13,松本,2017,第3
57,14,水戸,2017,第3
58,15,京都,2017,第3
59,16,讃岐,2017,第3
60,17,町田,2017,第3
61,17,岐阜,2017,第3
62,19,岡山,2017,第3
63,20,山口,2017,第3
64,21,金沢,2017,第3
65,22,群馬,2017,第3
66,1,湘南,2017,第4
67,2,横浜FC,2017,第4
68,3,東京Ｖ,2017,第4
69,4,徳島,2017,第4
70,5,福岡,2017,第4
71,6,長崎,2017,第4
72,7,松本,2017,第4
73,8,千葉,2017,第4
74,8,名古屋,2017,第4
75,10,山形,2017,第4
76,10,大分,2017,第4
77,12,熊本,2017,第4
78,13,町田,2017,第4
79,14,愛媛,2017,第4
80,15,岡山,2017,第4
81,16,讃岐,2017,第4
82,17,水戸,2017,第4
83,18,京都,2017,第4
84,19,岐阜,2017,第4
85,20,山口,2017,第4
86,21,金沢,2017,第4
87,22,群馬,2017,第4
88,1,湘南,2017,第5
89,2,東京Ｖ,2017,第5
90,3,徳島,2017,第5
91,4,長崎,2017,第5
92,5,名古屋,2017,第5
93,5,福岡,2017,第5
94,7,横浜FC,2017,第5
95,8,大分,2017,第5
96,9,岡山,2017,第5
97,10,松本,2017,第5
98,11,山形,2017,第5
99,12,千葉,2017,第5
100,13,町田,2017,第5
101,14,水戸,2017,第5
102,15,熊本,2017,第5
103,16,愛媛,2017,第5
104,17,山口,2017,第5
105,18,讃岐,2017,第5
106,19,京都,2017,第5
107,20,岐阜,2017,第5
108,21,金沢,2017,第5
109,22,群馬,2017,第5
110,1,東京Ｖ,2017,第6
111,2,名古屋,2017,第6
112,3,長崎,2017,第6
113,4,湘南,2017,第6
114,5,徳島,2017,第6
115,6,福岡,2017,第6
116,7,横浜FC,2017,第6
117,8,松本,2017,第6
118,9,大分,2017,第6
119,10,千葉,2017,第6
120,11,岡山,2017,第6
121,12,水戸,2017,第6
122,13,山形,2017,第6
123,14,讃岐,2017,第6
124,15,町田,2017,第6
125,16,愛媛,2017,第6
126,17,岐阜,2017,第6
127,18,金沢,2017,第6
128,18,山口,2017,第6
129,20,熊本,2017,第6
130,21,京都,2017,第6
131,22,群馬,2017,第6
132,1,名古屋,2017,第7
133,2,湘南,2017,第7
134,3,東京Ｖ,2017,第7
135,4,横浜FC,2017,第7
136,5,松本,2017,第7
137,6,長崎,2017,第7
138,7,徳島,2017,第7
139,8,福岡,2017,第7
140,9,大分,2017,第7
141,10,山形,2017,第7
142,11,町田,2017,第7
143,12,愛媛,2017,第7
144,13,千葉,2017,第7
